university_id,system,year,rank
massachusetts-institute-technology-mit,qs,2016,1
massachusetts-institute-technology-mit,qs,2017,1
massachusetts-institute-technology-mit,qs,2018,1
massachusetts-institute-technology-mit,qs,2019,1
massachusetts-institute-technology-mit,qs,2021,1
massachusetts-institute-technology-mit,qs,2022,1
massachusetts-institute-technology-mit,qs,2023,1
massachusetts-institute-technology-mit,qs,2024,1
massachusetts-institute-technology-mit,qs,2025,1
massachusetts-institute-technology-mit,qs,2026,1
massachusetts-institute-technology-mit,qs,2027,1
massachusetts-institute-technology-mit,usnews,2026,2
massachusetts-institute-technology-mit,the,2011,3
massachusetts-institute-technology-mit,the,2012,7
massachusetts-institute-technology-mit,the,2013,5
massachusetts-institute-technology-mit,the,2014,5
massachusetts-institute-technology-mit,the,2015,6
massachusetts-institute-technology-mit,the,2016,5
massachusetts-institute-technology-mit,the,2017,5
massachusetts-institute-technology-mit,the,2018,5
massachusetts-institute-technology-mit,the,2019,4
massachusetts-institute-technology-mit,the,2020,5
massachusetts-institute-technology-mit,the,2021,5
massachusetts-institute-technology-mit,the,2022,5
massachusetts-institute-technology-mit,the,2023,5
massachusetts-institute-technology-mit,the,2024,3
massachusetts-institute-technology-mit,the,2025,2
massachusetts-institute-technology-mit,the,2026,2
harvard-university,qs,2016,2
harvard-university,qs,2017,3
harvard-university,qs,2018,3
harvard-university,qs,2019,3
harvard-university,qs,2021,3
harvard-university,qs,2022,5
harvard-university,qs,2023,5
harvard-university,qs,2024,4
harvard-university,qs,2025,4
harvard-university,qs,2026,5
harvard-university,qs,2027,5
harvard-university,usnews,2026,1
harvard-university,the,2011,1
harvard-university,the,2012,2
harvard-university,the,2013,4
harvard-university,the,2014,2
harvard-university,the,2015,2
harvard-university,the,2016,6
harvard-university,the,2017,6
harvard-university,the,2018,6
harvard-university,the,2019,6
harvard-university,the,2020,7
harvard-university,the,2021,3
harvard-university,the,2022,2
harvard-university,the,2023,2
harvard-university,the,2024,4
harvard-university,the,2025,3
harvard-university,the,2026,5
university-oxford,qs,2016,6
university-oxford,qs,2017,6
university-oxford,qs,2018,6
university-oxford,qs,2019,5
university-oxford,qs,2021,5
university-oxford,qs,2022,2
university-oxford,qs,2023,4
university-oxford,qs,2024,3
university-oxford,qs,2025,3
university-oxford,qs,2026,4
university-oxford,qs,2027,4
university-oxford,usnews,2026,4
university-oxford,the,2011,6
university-oxford,the,2012,4
university-oxford,the,2013,2
university-oxford,the,2014,2
university-oxford,the,2015,3
university-oxford,the,2016,2
university-oxford,the,2017,1
university-oxford,the,2018,1
university-oxford,the,2019,1
university-oxford,the,2020,1
university-oxford,the,2021,1
university-oxford,the,2022,1
university-oxford,the,2023,1
university-oxford,the,2024,1
university-oxford,the,2025,1
university-oxford,the,2026,1
imperial-college-london,qs,2016,8
imperial-college-london,qs,2017,9
imperial-college-london,qs,2018,8
imperial-college-london,qs,2019,8
imperial-college-london,qs,2021,8
imperial-college-london,qs,2022,7
imperial-college-london,qs,2023,6
imperial-college-london,qs,2024,6
imperial-college-london,qs,2025,2
imperial-college-london,qs,2026,2
imperial-college-london,qs,2027,2
imperial-college-london,usnews,2026,14
imperial-college-london,the,2011,9
imperial-college-london,the,2012,8
imperial-college-london,the,2013,8
imperial-college-london,the,2014,10
imperial-college-london,the,2015,9
imperial-college-london,the,2016,8
imperial-college-london,the,2017,8
imperial-college-london,the,2018,8
imperial-college-london,the,2019,9
imperial-college-london,the,2020,10
imperial-college-london,the,2021,11
imperial-college-london,the,2022,12
imperial-college-london,the,2023,10
imperial-college-london,the,2024,8
imperial-college-london,the,2025,9
imperial-college-london,the,2026,8
university-cambridge,qs,2016,3
university-cambridge,qs,2017,4
university-cambridge,qs,2018,5
university-cambridge,qs,2019,6
university-cambridge,qs,2021,7
university-cambridge,qs,2022,3
university-cambridge,qs,2023,2
university-cambridge,qs,2024,2
university-cambridge,qs,2025,5
university-cambridge,qs,2026,6
university-cambridge,qs,2027,6
university-cambridge,usnews,2026,5
university-cambridge,the,2011,6
university-cambridge,the,2012,6
university-cambridge,the,2013,7
university-cambridge,the,2014,7
university-cambridge,the,2015,5
university-cambridge,the,2016,4
university-cambridge,the,2017,4
university-cambridge,the,2018,2
university-cambridge,the,2019,2
university-cambridge,the,2020,3
university-cambridge,the,2021,6
university-cambridge,the,2022,5
university-cambridge,the,2023,3
university-cambridge,the,2024,5
university-cambridge,the,2025,5
university-cambridge,the,2026,3
stanford-university,qs,2016,3
stanford-university,qs,2017,2
stanford-university,qs,2018,2
stanford-university,qs,2019,2
stanford-university,qs,2021,2
stanford-university,qs,2022,3
stanford-university,qs,2023,3
stanford-university,qs,2024,5
stanford-university,qs,2025,6
stanford-university,qs,2026,3
stanford-university,qs,2027,2
stanford-university,usnews,2026,3
stanford-university,the,2011,4
stanford-university,the,2012,2
stanford-university,the,2013,2
stanford-university,the,2014,4
stanford-university,the,2015,4
stanford-university,the,2016,3
stanford-university,the,2017,3
stanford-university,the,2018,3
stanford-university,the,2019,3
stanford-university,the,2020,4
stanford-university,the,2021,2
stanford-university,the,2022,4
stanford-university,the,2023,3
stanford-university,the,2024,2
stanford-university,the,2025,6
stanford-university,the,2026,5
princeton-university,qs,2016,11
princeton-university,qs,2017,11
princeton-university,qs,2018,13
princeton-university,qs,2019,13
princeton-university,qs,2021,12
princeton-university,qs,2022,20
princeton-university,qs,2023,16
princeton-university,qs,2024,17
princeton-university,qs,2025,22
princeton-university,qs,2026,25
princeton-university,qs,2027,27
princeton-university,usnews,2026,14
princeton-university,the,2011,5
princeton-university,the,2012,5
princeton-university,the,2013,6
princeton-university,the,2014,6
princeton-university,the,2015,7
princeton-university,the,2016,7
princeton-university,the,2017,7
princeton-university,the,2018,7
princeton-university,the,2019,7
princeton-university,the,2020,6
princeton-university,the,2021,9
princeton-university,the,2022,7
princeton-university,the,2023,7
princeton-university,the,2024,6
princeton-university,the,2025,4
princeton-university,the,2026,3
tsinghua-university,qs,2016,25
tsinghua-university,qs,2017,24
tsinghua-university,qs,2018,25
tsinghua-university,qs,2019,17
tsinghua-university,qs,2021,15
tsinghua-university,qs,2022,17
tsinghua-university,qs,2023,14
tsinghua-university,qs,2024,25
tsinghua-university,qs,2025,20
tsinghua-university,qs,2026,17
tsinghua-university,qs,2027,14
tsinghua-university,usnews,2026,6
tsinghua-university,the,2011,58
tsinghua-university,the,2012,71
tsinghua-university,the,2013,52
tsinghua-university,the,2014,50
tsinghua-university,the,2015,49
tsinghua-university,the,2016,47
tsinghua-university,the,2017,35
tsinghua-university,the,2018,30
tsinghua-university,the,2019,22
tsinghua-university,the,2020,23
tsinghua-university,the,2021,20
tsinghua-university,the,2022,16
tsinghua-university,the,2023,16
tsinghua-university,the,2024,12
tsinghua-university,the,2025,12
tsinghua-university,the,2026,12
california-institute-technology-caltech,qs,2016,5
california-institute-technology-caltech,qs,2017,5
california-institute-technology-caltech,qs,2018,4
california-institute-technology-caltech,qs,2019,4
california-institute-technology-caltech,qs,2021,4
california-institute-technology-caltech,qs,2022,6
california-institute-technology-caltech,qs,2023,6
california-institute-technology-caltech,qs,2024,15
california-institute-technology-caltech,qs,2025,10
california-institute-technology-caltech,qs,2026,10
california-institute-technology-caltech,qs,2027,7
california-institute-technology-caltech,usnews,2026,23
california-institute-technology-caltech,the,2011,2
